slug,name,country,currency,ug,pg,foundation,pathway
aarhus-university,Aarhus University,Denmark,EUR,,,,
academic-coaching,Academic Coaching,International,USD,,,,
academy-of-learning-career-college-scarborough,"Academy of Learning Career College, Scarborough",Canada,USD,,,,
admission-consultancy,Admission Consultancy,International,USD,,,,
advanced-placement-ap-exams,Advanced Placement (AP) Exams,International,USD,,,,
algoma-university,Algoma University,Canada,USD,,,,
american-institute-of-applied-sciences-in-switzerland,American Institute of Applied Sciences in Switzerland,Switzerland,USD,,,,
amity-university-dubai,AMITY University (Dubai),United Arab Emirates,USD,,,,
anglo-american-university,Anglo-American University,Czech Republic,USD,,,,
aston,Aston University,United Kingdom,GBP,,,,
atilim,Atılım University,Turkey,USD,,,,
auburn,Auburn University,United States,USD,,,,
auckland-institute-of-studies,Auckland Institute Of Studies,New Zealand,USD,,,,
australia-institute-of-business-and-technology,Australia Institute of Business and Technology,Australia,USD,,,,
australian-institute-of-technical-training,Australian Institute of Technical Training,Australia,USD,,,,
australian-performing-arts-conservatory,Australian Performing Arts Conservatory,Australia,USD,,,,
australian-vocational-training-academy,Australian Vocational Training Academy,Australia,USD,,,,
bath,University of Bath,United Kingdom,GBP,,,,
baylor-university,Baylor University,United States,USD,,,,
berk-alyeni,Berk Alyeni,International,USD,,,,
beykent-university,Beykent University,Turkey,USD,,,,
bilgi-university,İstanbul Bilgi University,Turkey,USD,,,,
bow-valley,Bow Valley College,Canada,CAD,,,,
bpp-university,BPP University,United Kingdom,USD,,,,
buckinghamshire-new-university,Buckinghamshire New University,United Kingdom,USD,,,,
budapest-university-of-economics-and-business,Budapest University of Economics and Business,Hungary,USD,,,,
burgundy-school-of-business,Burgundy School of Business,France,USD,,,,
c3s-business-school,C3S Business School,Spain,USD,,,,
california-baptist-university,California Baptist University,United States,USD,,,,
california-miramar-university,California Miramar University,United States,USD,,,,
california-state-university-east-bay,California State University East Bay,United States,USD,,,,
cambridge-education-group,Cambridge Education Group,United Kingdom,USD,,,,
canadian-universities-to-elevate-your-career,Canadian Universities to Elevate Your Career,International,USD,,,,
cape-breton-university,Cape Breton University,Canada,USD,,,,
capilano,Capilano University,Canada,CAD,,,,
cardiff-met,Cardiff Metropolitan University,United Kingdom,GBP,,,,
cardiff,Cardiff University,United Kingdom,GBP,,,,
carolina-university,Carolina University,United States,USD,,,,
cats-cambridge,CATS Cambridge,United Kingdom,GBP,,,,
cct-college-dublin,CCT College Dublin,Ireland,USD,,,,
ceg-digital,CEG Digital,United Kingdom,USD,,,,
cesar-ritz-colleges,Cesar Ritz Colleges,Switzerland,USD,,,,
chester,University of Chester,United Kingdom,GBP,,,,
college-de-paris,College de Paris,France,USD,,,,
college-of-marin,College of Marin,United States,USD,,,,
colorado-state-university,Colorado State University,United States,USD,,,,
columbia-college,Columbia College,Canada,USD,,,,
concordia-university-st-paul,"Concordia University, St. Paul",United States,USD,,,,
conestoga-college,Conestoga College,Canada,USD,,,,
contra-costa-college,Contra Costa College,United States,USD,,,,
coventry,Coventry University,United Kingdom,GBP,,,,
crandall-university,Crandall University,Canada,USD,,,,
culinary-arts-academy-switzerland,Culinary Arts Academy Switzerland,Switzerland,USD,,,,
cumbria,University of Cumbria,United Kingdom,GBP,,,,
curtin-university-dubai,Curtin University Dubai,UAE,USD,,,,
cy-tech-cergy-paris-university,CY TECH CERGY PARIS UNIVERSITY,France,USD,,,,
cyprus-international-university,Cyprus International University,Cyprus,USD,,,,
czech-technical-university,Czech Technical University in Prague,Czech Republic,EUR,,,,
dallas-baptist-university,Dallas Baptist University,United States,USD,,,,
data-protection-information,Data Protection Information,International,USD,,,,
dcu-successfull-career-services,DCU Successfull Career Services,International,USD,,,,
de-montfort-dubai,De Montfort University Dubai,United Arab Emirates,USD,,,,
dea-canadian-college,DEA Canadian College,Canada,USD,,,,
demont-institute-of-management-and-technology,DeMont Institute of Management & Technology,United Arab Emirates,USD,,,,
derby,University of Derby,United Kingdom,GBP,,,,
diablo-valley-college,Diablo Valley College,United States,USD,,,,
dublin-city-university,Dublin City University,Ireland,USD,,,,
east-tennessee-state-university,East Tennessee State University,United States,USD,,,,
eastbourne-twin,Twin English Centre Eastbourne,United Kingdom,GBP,,,,
eastern-mediterranean-university,Eastern Mediterranean University,Northern Cyprus,USD,,,,
ece-engineering-school,ECE Engineering School,France,USD,,,,
edith-cowan-sl,Edith Cowan University Sri Lanka,Sri Lanka,AUD,,,,
elmhurst-university,Elmhurst University,United States,USD,,,,
englishpath,EnglishPath,United Kingdom,GBP,,,,
erc-institute-direct-entry,ERC Institute,Singapore,USD,,,,
esc-clermont,ESC Clermont,France,USD,,,,
esce-international-business-school,ESCE - International Business School,France,USD,,,,
essca-school-of-management,ESSCA School of Management,France,USD,,,,
eu-business-school-switzerland,EU Business School Switzerland,Switzerland,EUR,,,,
eurasia-institute,EURASIA Institute,Germany,USD,,,,
exam-prep,Exam Prep,International,USD,,,,
exeter,University of Exeter,United Kingdom,GBP,,,,
fachhochschule-des-mittelstands-fhm-university,Fachhochschule des Mittelstands (FHM University),Germany,USD,,,,
fairleigh-dickinson-university-vancouver,"Fairleigh Dickinson University, Vancouver",Canada,USD,,,,
fanshawe-college,Fanshawe College,Canada,USD,,,,
federation-university,Federation University,Australia,USD,,,,
fontys-university,Fontys University of Applied Sciences,Netherlands,EUR,,,,
franklin-college,Franklin College,United States,USD,,,,
fresenius-university-of-applied-sciences,Fresenius University of Applied Sciences,Germany,USD,,,,
galway,University of Galway,Ireland,GBP,,,,
gbsb-global,GBSB Global Business School,Spain,EUR,,,,
gedu-global-education,GEDU Global Education,UAE,USD,,,,
georgian-college-of-applied-arts-and-technology,Georgian College of Applied Arts and Technology,Canada,USD,,,,
goldey-beacom-college,Goldey Beacom College,United States,USD,,,,
gre-gmat-exams,GRE - GMAT Exams,International,USD,,,,
griffith-ireland,Griffith College,Ireland,GBP,,,,
harrisburg-university-of-science-and-technology,Harrisburg University of Science and Technology,United States,USD,,,,
hartwick-college,Hartwick College,United States,USD,,,,
health-sciences-university,Health Sciences University,United Kingdom,USD,,,,
heip-hautes-etudes-internationales-and-politiques,HEIP - Hautes Etudes Internationales & Politiques,France,USD,,,,
helvetic-business-school,Helvetic Business School,Switzerland,USD,,,,
heriot-watt-dubai,Heriot-Watt University Dubai,United Arab Emirates,USD,,,,
htmi-international-hotel-and-tourism-institute-switzerland,HTMi - International Hotel and Tourism Institute (Switzerland),Switzerland,USD,,,,
humber-polytechnic,Humber Polytechnic,Canada,USD,,,,
ibs-international-business-school,IBS International Business School,Hungary,USD,,,,
icn-creactive-business-school,ICN Creactive Business School,France,USD,,,,
idea-college,IDEA College,Malta,USD,,,,
iesa-arts-and-culture,IESA Arts and Culture,France,USD,,,,
inseec-business-school,INSEEC Business School,France,USD,,,,
institut-francais-de-lhotellerie,Institut Francais de l'Hotellerie,France,USD,,,,
international-university-of-monaco,International University of Monaco,Monaco,USD,,,,
inti-international-university,INTI International University,Malaysia,USD,,,,
into-city-london,"INTO City, University of London",United Kingdom,GBP,,,,
into-exeter,INTO University of Exeter,United Kingdom,GBP,,,,
into-lancaster,INTO Lancaster University,United Kingdom,GBP,,,,
into-london,INTO London World Education Centre,United Kingdom,GBP,,,,
into-manchester,INTO Manchester,United Kingdom,GBP,,,,
into-newcastle,INTO Newcastle University,United Kingdom,GBP,,,,
into-newton-a-levels,INTO Newton A Levels,United Kingdom,GBP,,,,
into-partnerships,INTO Partnerships,United Kingdom,USD,,,,
into-queens-belfast,INTO Queen's University Belfast,United Kingdom,GBP,,,,
into-stirling-uni,INTO University of Stirling,United Kingdom,GBP,,,,
into-stirling,INTO Stirling Scotland Education Centre,United Kingdom,GBP,,,,
into-uea,INTO University of East Anglia,United Kingdom,GBP,,,,
iqs-institut-quimic-de-sarria,IQS - Institut Quimic de Sarria,Spain,USD,,,,
irvine-valley-college,Irvine Valley College,United States,USD,,,,
istec-business-school,ISTEC Business School,France,USD,,,,
jcu-singapore,James Cook University Singapore,Singapore,USD,,,,
junia,JUNIA,France,USD,,,,
kaplan-anz,Kaplan ANZ,Australia,USD,,,,
kaplan-business-school,Kaplan Business School,Australia,AUD,,,,
karelia-university-of-applied-sciences,Karelia University of Applied Sciences,Finland,USD,,,,
kennesaw-state-university,Kennesaw State University,United States,USD,,,,
kent-state-university,Kent State University,United States,USD,,,,
kings-bournemouth,Kings Bournemouth,United Kingdom,GBP,,,,
kings-hall-college,Kings Hall College,United Kingdom,USD,,,,
kings-oxford,Kings Oxford,United Kingdom,GBP,,,,
kingston-university,Kingston University,United Kingdom,USD,,,,
lancashire,University of Central Lancashire,United Kingdom,GBP,,,,
lane-college,Lane College,USA,USD,,,,
learn-key-institute,Learn Key Institute,Malta,USD,,,,
leeds-beckett,Leeds Beckett University,United Kingdom,GBP,,,,
leeds-trinity-university,Leeds Trinity University,United Kingdom,USD,,,,
lehigh-university,Lehigh University,United States,USD,,,,
leicester,University of Leicester,United Kingdom,GBP,,,,
limerick,University of Limerick,Ireland,GBP,,,,
lincoln-bishop-university,Lincoln Bishop University,United Kingdom,USD,,,,
lincoln-uk,University of Lincoln,United Kingdom,GBP,,,,
liverpool-hope,Liverpool Hope University,United Kingdom,GBP,,,,
ljmu-isc,Liverpool John Moores University International Study Centre,United Kingdom,GBP,,,,
london-met,London Metropolitan University,United Kingdom,GBP,,,,
london-south-bank,London South Bank University,United Kingdom,GBP,,,,
los-medanos-college,Los Medanos College,United States,USD,,,,
loughborough-university,Loughborough University,United Kingdom,USD,,,,
luiss,Luiss Guido Carli University,Italy,EUR,,,,
make-a-comment,Make a comment,International,USD,,,,
malvern-international,Malvern International,United Kingdom,USD,,,,
master-s-degree-in-dublin-business-school-ireland-the-story-of-our-stu,"Master’s Degree in Dublin Business School, Ireland– The Story of our Student Ceren",International,USD,,,,
maximizing-your-educational-pursuits-a-comprehensive-look-at-spring-in,Maximizing Your Educational Pursuits: A Comprehensive Look at Spring Intake Programs Worldwide,International,USD,,,,
mcdaniel-college-budapest,McDaniel College Budapest,Hungary,EUR,,,,
medical-degrees-in-europe,Medical Degrees in Europe,International,USD,,,,
middlesex-university-mauritius,Middlesex University Mauritius,Mauritius,USD,,,,
milton-friedman-university,Milton Friedman University,Hungary,USD,,,,
missouri-state-university,Missouri State University,United States,USD,,,,
modul-university-vienna,MODUL University Vienna,Austria,USD,,,,
monash-university,Monash University,Australia,USD,,,,
mphii-master-of-philosophy,MPhiI - Master Of Philosophy,International,USD,,,,
mt-san-antonio-college,Mt. San Antonio College,United States,USD,,,,
munich-business-school,Munich Business School,Germany,USD,,,,
munich-university-of-digital-technologies-and-applied-scienc,Munich University of Digital Technologies & Applied Sciences,Germany,USD,,,,
murray-state-university,Murray State University,United States,USD,,,,
navitas,Navitas,Australia,USD,,,,
new-england-au,University of New England,Australia,AUD,,,,
new-england-college,New England College,United States,USD,,,,
new-european-college,New European College,Germany,USD,,,,
new-york-film-academy,New York Film Academy,United States,USD,,,,
new-zealand-management-academies-nzma,New Zealand Management Academies (NZMA),New Zealand,USD,,,,
nipissing-university,Nipissing University,Canada,USD,,,,
north-seattle-college,North Seattle College,United States,USD,,,,
northeastern-university,Northeastern University,United States,USD,,,,
northtec-tai-tokerau-wananga,NorthTec Tai Tokerau Wananga,New Zealand,USD,,,,
nottingham-ningbo,University of Nottingham Ningbo China,China,USD,,,,
nova-southeastern-university,Nova Southeastern University,United States,USD,,,,
nuova-accademia-di-belle-arti-naba,NUOVA ACCADEMIA DI BELLE ARTI (NABA),Italy,USD,,,,
ohio-university,Ohio University,United States,USD,,,,
open-consent-form,Open Consent Form,International,USD,,,,
otago,University of Otago,New Zealand,NZD,,,,
oxford-international-college,Oxford International College,United Kingdom,GBP,,,,
partner-request-thank-you,Partner Request. Thank you.,International,USD,,,,
partner-with-us,Partner With Us,International,USD,,,,
piedmont-virginia-community-college,Piedmont Virginia Community College,United States,USD,,,,
polimi-gsom,Polimi Graduate School of Management,Italy,EUR,,,,
pte-scores-for-canada,PTE Scores For Canada,International,USD,,,,
qa-higher-education,QA Higher Education,United Kingdom,USD,,,,
queen-mary-malta,Queen Mary University of London in Malta,Malta,EUR,,,,
ravensbourne,Ravensbourne University London,United Kingdom,GBP,,,,
reach-community-college,Reach Community College,Australia,USD,,,,
reading-malaysia,University of Reading Malaysia,Malaysia,USD,,,,
regent-college-london,Regent College London,United Kingdom,USD,,,,
regents-university-london,Regent's University London,United Kingdom,USD,,,,
rensselaer-polytechnic-institute,Rensselaer Polytechnic Institute,United States,USD,,,,
rmit-university,RMIT University,Australia,USD,,,,
roehampton,University of Roehampton,United Kingdom,GBP,,,,
royal-holloway,"Royal Holloway, University of London",United Kingdom,GBP,,,,
saba-university-school-of-medicine,Saba University School of Medicine,"Bonaire, Saint Eustatius And Saba ",USD,,,,
sacred-heart-university,Sacred Heart University,United States,USD,,,,
saint-louis-university-madrid,Saint Louis University Madrid,Spain,USD,,,,
san-raffaele,Università Vita-Salute San Raffaele,Italy,EUR,,,,
santa-monica-college,Santa Monica College,United States,USD,,,,
sat-exams,SAT Exams,International,USD,,,,
scholarships,Scholarships,International,USD,,,,
selkirk-college,Selkirk College,Canada,USD,,,,
semmelweis-university,Semmelweis University,Hungary,EUR,,,,
seneca,Seneca Polytechnic,Canada,CAD,,,,
services,Services,International,USD,,,,
sheffield-hallam,Sheffield Hallam University,United Kingdom,GBP,,,,
sheridan-college-institute-of-technology-and-advanced-learning,Sheridan College Institute of Technology and Advanced Learning,Canada,CAD,,,,
soas,SOAS University of London,United Kingdom,GBP,,,,
sofia-university,Sofia University,United States,USD,,,,
south-east-technological-university,South East Technological University,Ireland,USD,,,,
south-seattle-college,South Seattle College,United States,USD,,,,
south-wales,University of South Wales,United Kingdom,GBP,,,,
southeast-missouri-state-university,Southeast Missouri State University,United States,USD,,,,
southern-cross-university,Southern Cross University,Australia,USD,,,,
southern-utah-university,Southern Utah University,United States,USD,,,,
southwest-minnesota-state-university,Southwest Minnesota State University,United States,USD,,,,
sp-jain-school-of-global-management-dubai,SP Jain School of Global Management Dubai,UAE,USD,,,,
srh-hochschule-berlin,SRH Hochschule Berlin,Germany,USD,,,,
st-josephs-university,St. Joseph’s University,United States,USD,,,,
st-matthews-university-school-of-medicine,St. Matthew’s University School of Medicine,Cayman Islands,USD,,,,
st-thomas-university,St. Thomas University,Canada,USD,,,,
state-university-of-new-york-at-oswego,State University of New York at Oswego,United States,USD,,,,
stirling,University of Stirling,United Kingdom,GBP,,,,
strathclyde,University of Strathclyde,United Kingdom,GBP,,,,
study-group,Study Group,United Kingdom,USD,,,,
suffolk-university,Suffolk University,United States,USD,,,,
sunderland,University of Sunderland,United Kingdom,GBP,,,,
sup-de-pub,Sup de Pub,France,USD,,,,
surrey,University of Surrey,United Kingdom,GBP,,,,
sussex,University of Sussex,United Kingdom,GBP,,,,
swinburne-university-of-technology,Swinburne University of Technology,Australia,USD,,,,
swiss-hotel-management-school,Swiss Hotel Management School,Switzerland,USD,,,,
swps-university,SWPS University,Poland,EUR,,,,
syracuse-university,Syracuse University,United States,USD,,,,
teesside,Teesside University,United Kingdom,GBP,,,,
texas-state-university,Texas State University,United States,USD,,,,
the-university-of-akron,The University of Akron,United States,USD,,,,
the-university-of-melbourne,The University of Melbourne,Australia,USD,,,,
the-university-of-scranton,The University of Scranton,United States,USD,,,,
the-university-of-western-australia,The University of Western Australia,Australia,USD,,,,
thomas-jefferson-university,Thomas Jefferson University,United States,USD,,,,
thompson-rivers,Thompson Rivers University,Canada,CAD,,,,
toefl-exam,TOEFL Exam,International,USD,,,,
toefl-vs-ielts,TOEFL vs. IELTS,International,USD,,,,
toi-ohomai-institute-of-technology,Toi Ohomai Institute of Technology,New Zealand,USD,,,,
toulouse-business-school,Toulouse Business School,France,USD,,,,
transport-and-telecommunication-institute,Transport and Telecommunication Institute,Latvia,USD,,,,
trends-shaping-brazilian-students-international-education-preferences,Trends Shaping Brazilian Students’ International Education Preferences in 2025,International,USD,,,,
trine-university,Trine University,United States,USD,,,,
trinity-dublin,Trinity College Dublin,Ireland,GBP,,,,
troy-university,Troy University,United States,USD,,,,
tus-shannon,Technological University of the Shannon,Ireland,GBP,,,,
types-of-mba,Types of MBA,International,USD,,,,
uca,University for the Creative Arts,United Kingdom,GBP,,,,
ucam-catholic-university-of-murcia,UCAM Catholic University of Murcia,Spain,USD,,,,
ucat-exam,UCAT Exam,International,USD,,,,
ucb,University College Birmingham,United Kingdom,GBP,,,,
ucc,University College Cork,Ireland,GBP,,,,
ucf,University of Central Florida,United States,USD,,,,
ucl,University College London (UCL),United Kingdom,GBP,,,,
ue-university-of-europe-for-applied-sciences,UE - University of Europe for Applied Sciences,Germany,USD,,,,
universidad-europea-de-madrid,Universidad Europea de Madrid,Spain,EUR,,,,
universidade-europeia,Universidade Europeia,Portugal,USD,,,,
universitat-politecnica-de-valencia-upv,Universitat Politècnica de València (UPV),Spain,EUR,,,,
university-at-albany,University at Albany,United States,USD,,,,
university-college-dublin,University College Dublin,Ireland,USD,,,,
university-of-bedfordshire,University of Bedfordshire,United Kingdom,USD,,,,
university-of-bridgeport,University of Bridgeport,United States,USD,,,,
university-of-california-irvine-division-of-continuing-educa,University of California Irvine Division of Continuing Education,United States,USD,,,,
university-of-canada-west,University Canada West,Canada,CAD,,,,
university-of-cincinnati,University of Cincinnati,United States,USD,,,,
university-of-colorado-denver,University of Colorado Denver,United States,USD,,,,
university-of-east-london,University of East London,United Kingdom,USD,,,,
university-of-huddersfield-london,University of Huddersfield London,United Kingdom,USD,,,,
university-of-huddersfield,University of Huddersfield,United Kingdom,USD,,,,
university-of-la-verne,University of La Verne,United States,USD,,,,
university-of-law,University of Law,United Kingdom,GBP,,,,
university-of-louisville,University of Louisville,United States,USD,,,,
university-of-massachusetts-lowell,University of Massachusetts Lowell,United States,USD,,,,
university-of-michigan-flint,University of Michigan - Flint,United States,USD,,,,
university-of-nevada-las-vegas,"University of Nevada, Las Vegas",United States,USD,,,,
university-of-new-york-in-prague,University of New York in Prague,Czech Republic,USD,,,,
university-of-north-carolina-at-greensboro,University of North Carolina at Greensboro,United States,USD,,,,
university-of-north-carolina-at-wilmington,University of North Carolina at Wilmington,United States,USD,,,,
university-of-north-florida,University of North Florida,United States,USD,,,,
university-of-northampton,University of Northampton,United Kingdom,USD,,,,
university-of-nottingham-malaysia,University of Nottingham Malaysia,Malaysia,USD,,,,
university-of-redlands,University Of Redlands,United States,USD,,,,
university-of-regina,University of Regina,Canada,USD,,,,
university-of-salford,University of Salford,United Kingdom,USD,,,,
university-of-sheffield,University of Sheffield,United Kingdom,USD,,,,
university-of-southampton,University of Southampton,United Kingdom,USD,,,,
university-of-southern-queensland,University of Southern Queensland,Australia,USD,,,,
university-of-stirling-ras-al-khaimah,University of Stirling Ras Al Khaimah,United Arab Emirates,USD,,,,
university-of-the-west-of-scotland,University of the West of Scotland,United Kingdom,USD,,,,
university-of-warsaw,University of Warsaw,Poland,EUR,,,,
university-of-west-alabama,University of West Alabama,United States,USD,,,,
university-of-wolverhampton,University of Wolverhampton,United Kingdom,USD,,,,
utah-tech-university,Utah Tech University,United States,USD,,,,
vibe-education,Vibe Education,United Arab Emirates,USD,,,,
victoria-wellington,Victoria University of Wellington,New Zealand,NZD,,,,
visa-application,Visa Application,International,USD,,,,
vizja-university,VIZJA University,Poland,USD,,,,
washington-university-school-of-law,Washington University School of Law,United States,USD,,,,
weber-state-university,Weber State University,United States,USD,,,,
webster-vienna,Webster University in Vienna,Austria,EUR,,,,
westcliff-university,Westcliff University,United States,USD,,,,
william-paterson-university,William Paterson University,United States,USD,,,,
wittenborg,Wittenborg University of Applied Sciences,Netherlands,EUR,,,,
wrexham-university,Wrexham University,United Kingdom,USD,,,,
xi-an-jiaotong-liverpool-university,Xi'an Jiaotong-Liverpool University,China,USD,,,,
xian-eurasia,Xi'an Eurasia University,China,USD,,,,
yoobee-college-of-creative-innovation,Yoobee College of Creative Innovation,New Zealand,USD,,,,
zhuhai-bnbu,Beijing Normal-Hong Kong Baptist University (BNBU),China,USD,,,,
